indice,"id_comb,""quantity DS HTL"",P3HT,PCBM,""ratio P3HT:PCBM""",time,temperature,dew point,hummidity,presure
1,1.2857142857142858,0,18,8,52,1018
2,1.2857142857142858,1,18,8,52,1018
3,1.2857142857142858,2,18,8,52,1018
4,1.2857142857142858,3,18,8,52,1018
5,1.2857142857142858,4,18,8,52,1018
6,1.2857142857142858,5,18,8,52,1018
7,1.2857142857142858,6,18,8,52,1018
8,1.2857142857142858,7,18,8,52,1018
9,1.2857142857142858,8,18,8,52,1018
10,1.2857142857142858,9,18,8,52,1018
11,1.2857142857142858,10,18,8,52,1018
12,1.2857142857142858,11,18,8,52,1018
13,1.2857142857142858,12,18,8,52,1018
14,1.2857142857142858,13,18,8,52,1018
15,1.2857142857142858,14,18,8,52,1018
16,1.2857142857142858,15,18,8,52,1018
17,1.2857142857142858,16,18,8,52,1018
18,1.2857142857142858,17,18,8,52,1018
19,1.2857142857142858,18,18,8,52,1018
20,1.2857142857142858,19,18,8,52,1018
21,1.2857142857142858,20,18,8,52,1018
22,1.2857142857142858,21,18,8,52,1018
23,1.2857142857142858,22,18,8,52,1018
24,1.2857142857142858,23,18,8,52,1018
25,1.2857142857142858,24,18,8,52,1018
26,1.2857142857142858,25,18,8,52,1018
27,1.2857142857142858,26,18,8,52,1018
28,1.2857142857142858,27,18,8,52,1018
29,1.2857142857142858,28,18,8,52,1018
30,1.2857142857142858,29,18,8,52,1018
31,1.2857142857142858,30,18,8,52,1018
32,1.4285714285714286,0,18,8,52,1018
33,1.4285714285714286,1,18,8,52,1018
34,1.4285714285714286,2,18,8,52,1018
35,1.4285714285714286,3,18,8,52,1018
36,1.4285714285714286,4,18,8,52,1018
37,1.4285714285714286,5,18,8,52,1018
38,1.4285714285714286,6,18,8,52,1018
39,1.4285714285714286,7,18,8,52,1018
40,1.4285714285714286,8,18,8,52,1018
41,1.4285714285714286,9,18,8,52,1018
42,1.4285714285714286,10,18,8,52,1018
43,1.4285714285714286,11,18,8,52,1018
44,1.4285714285714286,12,18,8,52,1018
45,1.4285714285714286,13,18,8,52,1018
46,1.4285714285714286,14,18,8,52,1018
47,1.4285714285714286,15,18,8,52,1018
48,1.4285714285714286,16,18,8,52,1018
49,1.4285714285714286,17,18,8,52,1018
50,1.4285714285714286,18,18,8,52,1018
51,1.4285714285714286,19,18,8,52,1018
52,1.4285714285714286,20,18,8,52,1018
53,1.4285714285714286,21,18,8,52,1018
54,1.4285714285714286,22,18,8,52,1018
55,1.4285714285714286,23,18,8,52,1018
56,1.4285714285714286,24,18,8,52,1018
57,1.4285714285714286,25,18,8,52,1018
58,1.4285714285714286,26,18,8,52,1018
59,1.4285714285714286,27,18,8,52,1018
60,1.4285714285714286,28,18,8,52,1018
61,1.4285714285714286,29,18,8,52,1018
62,1.4285714285714286,30,18,8,52,1018
