indice,quantity DS HTL,P3HT,PCBM,ratio P3HT:PCBM,time,temperature,dew point,hummidity,presure
1,0.15,0.9,0.7,1.2857142857142858,0,18,8,52,1018
2,0.15,0.9,0.7,1.2857142857142858,1,18,8,52,1018
3,0.15,0.9,0.7,1.2857142857142858,2,18,8,52,1018
4,0.15,0.9,0.7,1.2857142857142858,3,18,8,52,1018
5,0.15,0.9,0.7,1.2857142857142858,4,18,8,52,1018
6,0.15,0.9,0.7,1.2857142857142858,5,18,8,52,1018
7,0.15,0.9,0.7,1.2857142857142858,6,18,8,52,1018
8,0.15,0.9,0.7,1.2857142857142858,7,18,8,52,1018
9,0.15,0.9,0.7,1.2857142857142858,8,18,8,52,1018
10,0.15,0.9,0.7,1.2857142857142858,9,18,8,52,1018
11,0.15,0.9,0.7,1.2857142857142858,10,18,8,52,1018
12,0.15,0.9,0.7,1.2857142857142858,11,18,8,52,1018
13,0.15,0.9,0.7,1.2857142857142858,12,18,8,52,1018
14,0.15,0.9,0.7,1.2857142857142858,13,18,8,52,1018
15,0.15,0.9,0.7,1.2857142857142858,14,18,8,52,1018
16,0.15,0.9,0.7,1.2857142857142858,15,18,8,52,1018
17,0.15,0.9,0.7,1.2857142857142858,16,18,8,52,1018
18,0.15,0.9,0.7,1.2857142857142858,17,18,8,52,1018
19,0.15,0.9,0.7,1.2857142857142858,18,18,8,52,1018
20,0.15,0.9,0.7,1.2857142857142858,19,18,8,52,1018
21,0.15,0.9,0.7,1.2857142857142858,20,18,8,52,1018
22,0.15,0.9,0.7,1.2857142857142858,21,18,8,52,1018
23,0.15,0.9,0.7,1.2857142857142858,22,18,8,52,1018
24,0.15,0.9,0.7,1.2857142857142858,23,18,8,52,1018
25,0.15,0.9,0.7,1.2857142857142858,24,18,8,52,1018
26,0.15,0.9,0.7,1.2857142857142858,25,18,8,52,1018
27,0.15,0.9,0.7,1.2857142857142858,26,18,8,52,1018
28,0.15,0.9,0.7,1.2857142857142858,27,18,8,52,1018
29,0.15,0.9,0.7,1.2857142857142858,28,18,8,52,1018
30,0.15,0.9,0.7,1.2857142857142858,29,18,8,52,1018
31,0.15,0.9,0.7,1.2857142857142858,30,18,8,52,1018
32,0.15,1.0,0.7,1.4285714285714286,0,18,8,52,1018
33,0.15,1.0,0.7,1.4285714285714286,1,18,8,52,1018
34,0.15,1.0,0.7,1.4285714285714286,2,18,8,52,1018
35,0.15,1.0,0.7,1.4285714285714286,3,18,8,52,1018
36,0.15,1.0,0.7,1.4285714285714286,4,18,8,52,1018
37,0.15,1.0,0.7,1.4285714285714286,5,18,8,52,1018
38,0.15,1.0,0.7,1.4285714285714286,6,18,8,52,1018
39,0.15,1.0,0.7,1.4285714285714286,7,18,8,52,1018
40,0.15,1.0,0.7,1.4285714285714286,8,18,8,52,1018
41,0.15,1.0,0.7,1.4285714285714286,9,18,8,52,1018
42,0.15,1.0,0.7,1.4285714285714286,10,18,8,52,1018
43,0.15,1.0,0.7,1.4285714285714286,11,18,8,52,1018
44,0.15,1.0,0.7,1.4285714285714286,12,18,8,52,1018
45,0.15,1.0,0.7,1.4285714285714286,13,18,8,52,1018
46,0.15,1.0,0.7,1.4285714285714286,14,18,8,52,1018
47,0.15,1.0,0.7,1.4285714285714286,15,18,8,52,1018
48,0.15,1.0,0.7,1.4285714285714286,16,18,8,52,1018
49,0.15,1.0,0.7,1.4285714285714286,17,18,8,52,1018
50,0.15,1.0,0.7,1.4285714285714286,18,18,8,52,1018
51,0.15,1.0,0.7,1.4285714285714286,19,18,8,52,1018
52,0.15,1.0,0.7,1.4285714285714286,20,18,8,52,1018
53,0.15,1.0,0.7,1.4285714285714286,21,18,8,52,1018
54,0.15,1.0,0.7,1.4285714285714286,22,18,8,52,1018
55,0.15,1.0,0.7,1.4285714285714286,23,18,8,52,1018
56,0.15,1.0,0.7,1.4285714285714286,24,18,8,52,1018
57,0.15,1.0,0.7,1.4285714285714286,25,18,8,52,1018
58,0.15,1.0,0.7,1.4285714285714286,26,18,8,52,1018
59,0.15,1.0,0.7,1.4285714285714286,27,18,8,52,1018
60,0.15,1.0,0.7,1.4285714285714286,28,18,8,52,1018
61,0.15,1.0,0.7,1.4285714285714286,29,18,8,52,1018
62,0.15,1.0,0.7,1.4285714285714286,30,18,8,52,1018
