index,PCE,quantity DS HTL,ratio P3HT:PCBM,P3HT,PCBM,temperature,dew point,hummidity,time,Set,PCE_pred
1,1.167700824,0.25,1.0,1.0,1.0,22.22,12.78,57,0,Training,1.109841123667919
2,0.917374729,0.5,1.0,1.0,1.0,22.22,12.78,57,0,Training,0.8840122545566192
3,1.297104192,0.75,1.0,1.0,1.0,22.22,12.78,57,0,Training,1.2548855579462697
4,1.266052273,1.0,1.0,1.0,1.0,22.22,12.78,57,0,Training,1.223316349786609
5,1.090125305,0.25,1.0,1.0,1.0,20.0,3.89,35,15,Training,0.9906080669955695
6,1.052921425,0.75,1.0,1.0,1.0,20.0,3.89,35,15,Training,1.0247265857799548
8,1.026983796,0.25,1.0,1.0,1.0,17.78,6.11,45,21,Training,0.9584601952297991
9,0.895599657,0.5,1.0,1.0,1.0,17.78,6.11,45,21,Training,0.7324070441178243
10,1.10519924,0.75,1.0,1.0,1.0,17.78,6.11,45,21,Training,1.051506396149979
11,1.097714257,0.75,1.0,1.0,1.0,12.22,2.78,54,28,Training,1.0546642236342232
12,1.049343127,1.0,1.0,1.0,1.0,12.22,2.78,54,28,Training,0.9897872826788034
13,0.930444648,0.25,1.0,1.0,1.0,15.0,3.89,48,29,Training,0.8575767501030098
15,1.027485609,0.75,1.0,1.0,1.0,15.0,3.89,48,29,Training,0.9672437923858899
16,0.777663712,1.0,1.0,1.0,1.0,15.0,3.89,48,29,Training,0.8328116075939712
17,0.772365315,0.25,1.0,1.0,1.0,17.22,5.0,45,34,Training,0.7903255890956653
18,0.952883848,0.75,1.0,1.0,1.0,17.22,5.0,45,34,Training,0.9552426852257434
19,0.971529676,1.0,1.0,1.0,1.0,17.22,5.0,45,34,Training,0.8849071834690047
20,0.65000482,0.25,1.0,1.0,1.0,16.11,8.89,63,55,Training,0.6432041866342681
21,0.724939147,0.5,1.0,1.0,1.0,16.11,8.89,63,55,Training,0.6284390121403927
22,0.804678271,0.75,1.0,1.0,1.0,16.11,8.89,63,55,Training,0.8191571895483026
23,0.783651754,1.0,1.0,1.0,1.0,16.11,8.89,63,55,Training,0.7454687865169591
24,0.526927289,0.5,1.0,1.0,1.0,12.78,7.78,72,77,Training,0.54688430736935
25,0.931575027,0.75,1.0,1.0,1.0,12.78,7.78,72,77,Training,0.8723901546685937
26,0.630550799,1.0,1.0,1.0,1.0,12.78,7.78,72,77,Training,0.6499509276984714
27,0.512288977,0.25,1.0,1.0,1.0,12.22,3.89,58,86,Training,0.5447167473311921
28,0.49310923,0.5,1.0,1.0,1.0,12.22,3.89,58,86,Training,0.547332772242302
29,0.975388026,0.75,1.0,1.0,1.0,12.22,3.89,58,86,Training,0.8960834680435318
30,0.61278982,1.0,1.0,1.0,1.0,12.22,3.89,58,86,Training,0.6486589269364711
31,0.469407366,0.25,1.0,1.0,1.0,12.22,10.0,88,106,Training,0.5561601812180748
32,0.599438841,0.5,1.0,1.0,1.0,12.22,10.0,88,106,Training,0.5555645979518581
33,0.938063443,0.75,1.0,1.0,1.0,12.22,10.0,88,106,Training,0.8893447451738655
35,0.50625535,0.25,1.0,1.0,1.0,17.22,1.11,34,112,Training,0.5693202615352609
36,0.565342929,0.5,1.0,1.0,1.0,17.22,1.11,34,112,Training,0.5721733273648405
37,0.976720713,0.75,1.0,1.0,1.0,17.22,1.11,34,112,Training,0.8893951262754418
38,0.594969815,1.0,1.0,1.0,1.0,17.22,1.11,34,112,Training,0.6526052313668369
40,0.572828838,0.5,1.0,1.0,1.0,16.11,2.78,42,119,Training,0.5850284256141914
41,0.941025618,0.75,1.0,1.0,1.0,16.11,2.78,42,119,Training,0.8823351667255285
42,0.612252669,1.0,1.0,1.0,1.0,16.11,2.78,42,119,Training,0.6589473970293216
43,0.558211279,0.25,1.0,1.0,1.0,16.11,8.89,63,126,Training,0.5588597803155836
44,0.619732991,0.5,1.0,1.0,1.0,16.11,8.89,63,126,Training,0.5543680692823231
45,0.578923923,1.0,1.0,1.0,1.0,16.11,8.89,63,126,Training,0.6179093109028753
46,0.550608381,0.5,1.0,1.0,1.0,15.0,11.11,77,133,Training,0.5463151806771711
49,0.565806852,0.25,1.0,1.0,1.0,17.22,10.0,63,140,Training,0.5552715389021601
50,0.615202319,0.5,1.0,1.0,1.0,17.22,10.0,63,140,Training,0.5507798278688996
52,0.560455809,0.25,1.0,1.0,1.0,12.78,11.11,88,147,Training,0.5508947082177602
54,0.955921155,0.75,1.0,1.0,1.0,12.78,11.11,88,147,Training,0.877046634356737
55,0.514115959,1.0,1.0,1.0,1.0,12.78,11.11,88,147,Training,0.5755797177511662
57,0.545409271,0.5,1.0,1.0,1.0,15.0,12.22,82,154,Training,0.5472048774670871
58,0.945294468,0.75,1.0,1.0,1.0,15.0,12.22,82,154,Training,0.874437288747499
59,0.553495466,1.0,1.0,1.0,1.0,15.0,12.22,82,154,Training,0.5883157627021325
60,0.474499473,0.25,1.0,1.0,1.0,12.78,6.11,63,161,Training,0.5348861143107381
62,0.92418169,0.75,1.0,1.0,1.0,12.78,6.11,63,161,Training,0.8897159093415566
63,0.502315965,0.25,1.0,1.0,1.0,17.22,12.78,77,168,Training,0.518507629781858
64,0.485541077,0.5,1.0,1.0,1.0,17.22,12.78,77,168,Training,0.5146073453588311
65,0.771581494,0.75,1.0,1.0,1.0,17.22,12.78,77,168,Training,0.7593787067038427
66,0.528539973,1.0,1.0,1.0,1.0,17.22,12.78,77,168,Training,0.5506052127446363
67,0.475635533,1.0,1.0,1.0,1.0,18.89,10.0,56,182,Training,0.512546928364819
68,0.520331847,0.5,1.2,1.2,1.0,17.22,2.78,39,0,Training,0.5147669573273219
69,0.618715365,0.5,1.1,1.1,1.0,17.22,2.78,39,0,Training,0.6048964311898491
70,0.701260448,0.5,1.0,1.0,1.0,17.22,2.78,39,0,Training,0.6867157288309581
71,0.532585739,0.5,1.11,1.0,0.9,17.22,2.78,39,0,Training,0.520024928350149
72,1.316409005,0.5,1.25,1.0,0.8,17.22,2.78,39,0,Training,1.259493929331972
73,0.430536075,0.5,1.2,1.2,1.0,20.0,3.89,35,7,Training,0.4411287395217031
75,0.629452696,0.5,1.0,1.0,1.0,20.0,3.89,35,7,Training,0.7172667139886162
76,0.470710945,0.5,1.11,1.0,0.9,20.0,3.89,35,7,Training,0.4765288389391499
77,1.179071417,0.5,1.25,1.0,0.8,20.0,3.89,35,7,Training,1.1443269392621982
78,0.432386117,0.5,1.2,1.2,1.0,17.78,6.11,45,13,Training,0.43784570906147036
79,0.483637812,0.5,1.1,1.1,1.0,17.78,6.11,45,13,Training,0.4990210862310723
80,0.631244487,0.5,1.0,1.0,1.0,17.78,6.11,45,13,Training,0.711123089102951
81,0.427945073,0.5,1.11,1.0,0.9,17.78,6.11,45,13,Training,0.46500263401293657
82,1.193734878,0.5,1.25,1.0,0.8,17.78,6.11,45,13,Training,1.1446383200741095
83,0.425753015,0.5,1.2,1.2,1.0,12.22,2.78,54,20,Training,0.4387868767748889
84,0.506974214,0.5,1.1,1.1,1.0,12.22,2.78,54,20,Training,0.5037198984728063
85,0.437369792,0.5,1.11,1.0,0.9,12.22,2.78,54,20,Training,0.45379015444675785
86,1.147635124,0.5,1.25,1.0,0.8,12.22,2.78,54,20,Training,1.1089854109976922
87,0.384668315,0.5,1.2,1.2,1.0,15.0,3.89,48,21,Training,0.4184081664670125
88,0.49736583,0.5,1.1,1.1,1.0,15.0,3.89,48,21,Training,0.4920525354795025
89,0.585049053,0.5,1.0,1.0,1.0,15.0,3.89,48,21,Training,0.6670511990703171
90,0.411925115,0.5,1.11,1.0,0.9,15.0,3.89,48,21,Training,0.4500257537401221
91,1.128362401,0.5,1.25,1.0,0.8,15.0,3.89,48,21,Training,1.0947706858922304
93,0.56834793,0.5,1.0,1.0,1.0,17.22,5.0,45,26,Training,0.6613055666323046
94,0.418292641,0.5,1.11,1.0,0.9,17.22,5.0,45,26,Training,0.45221045947940036
95,1.09658479,0.5,1.25,1.0,0.8,17.22,5.0,45,26,Training,1.068231712120995
97,0.496965052,0.5,1.1,1.1,1.0,16.11,8.89,63,47,Training,0.49441610791742224
98,0.591496449,0.5,1.0,1.0,1.0,16.11,8.89,63,47,Training,0.6152649138937791
99,0.416701285,0.5,1.11,1.0,0.9,16.11,8.89,63,47,Training,0.42142901182120246
100,0.350119849,0.5,1.2,1.2,1.0,12.78,7.78,72,69,Training,0.3771206767533613
101,0.434195639,0.5,1.1,1.1,1.0,12.78,7.78,72,69,Training,0.4515081409481874
102,0.539906641,0.5,1.0,1.0,1.0,12.78,7.78,72,69,Training,0.544987539976975
103,0.372726732,0.5,1.11,1.0,0.9,12.78,7.78,72,69,Training,0.39512191075024483
104,0.989863056,0.5,1.25,1.0,0.8,12.78,7.78,72,69,Training,0.9649014689631257
105,0.456260932,0.5,1.1,1.1,1.0,12.22,3.89,58,78,Training,0.46058143923401246
106,0.536703421,0.5,1.0,1.0,1.0,12.22,3.89,58,78,Training,0.547332772242302
107,0.385337873,0.5,1.11,1.0,0.9,12.22,3.89,58,78,Training,0.39424836293647014
109,0.4830183,0.5,1.1,1.1,1.0,12.22,10.0,88,98,Training,0.4813196822369012
110,0.561212369,0.5,1.0,1.0,1.0,12.22,10.0,88,98,Training,0.5555645979518581
111,0.388483675,0.5,1.11,1.0,0.9,12.22,10.0,88,98,Training,0.40293344577934326
