index,PCE,quantity DS HTL,ratio P3HT:PCBM,P3HT,PCBM,temperature,dew point,hummidity,time,Set,PCE_pred
1,1.167700824,0.25,1.0,1.0,1.0,22.22,12.78,57,0,Training,1.0294430826335312
2,0.917374729,0.5,1.0,1.0,1.0,22.22,12.78,57,0,Training,0.7702291459750479
3,1.297104192,0.75,1.0,1.0,1.0,22.22,12.78,57,0,Training,1.1879533359728882
4,1.266052273,1.0,1.0,1.0,1.0,22.22,12.78,57,0,Training,1.1664926878337594
5,1.090125305,0.25,1.0,1.0,1.0,20.0,3.89,35,15,Training,0.942411276583322
6,1.052921425,0.75,1.0,1.0,1.0,20.0,3.89,35,15,Training,1.0002871123512285
7,1.119102305,1.0,1.0,1.0,1.0,20.0,3.89,35,15,Training,1.034145163120181
8,1.026983796,0.25,1.0,1.0,1.0,17.78,6.11,45,21,Training,0.925299927644322
9,0.895599657,0.5,1.0,1.0,1.0,17.78,6.11,45,21,Training,0.7178056072827953
10,1.10519924,0.75,1.0,1.0,1.0,17.78,6.11,45,21,Training,1.0050473750787285
11,1.097714257,0.75,1.0,1.0,1.0,12.22,2.78,54,28,Training,1.0061107792865998
12,1.049343127,1.0,1.0,1.0,1.0,12.22,2.78,54,28,Training,0.992600421464293
13,0.930444648,0.25,1.0,1.0,1.0,15.0,3.89,48,29,Training,0.8708519640858017
14,0.828436035,0.5,1.0,1.0,1.0,15.0,3.89,48,29,Training,0.7402474614271088
15,1.027485609,0.75,1.0,1.0,1.0,15.0,3.89,48,29,Training,0.9635153148893031
16,0.777663712,1.0,1.0,1.0,1.0,15.0,3.89,48,29,Training,0.831432344141452
17,0.772365315,0.25,1.0,1.0,1.0,17.22,5.0,45,34,Training,0.7889565618968251
18,0.952883848,0.75,1.0,1.0,1.0,17.22,5.0,45,34,Training,0.945171449514866
19,0.971529676,1.0,1.0,1.0,1.0,17.22,5.0,45,34,Training,0.880109024367249
20,0.65000482,0.25,1.0,1.0,1.0,16.11,8.89,63,55,Training,0.6442112706967504
21,0.724939147,0.5,1.0,1.0,1.0,16.11,8.89,63,55,Training,0.6268178127742801
22,0.804678271,0.75,1.0,1.0,1.0,16.11,8.89,63,55,Training,0.8094016776009864
23,0.783651754,1.0,1.0,1.0,1.0,16.11,8.89,63,55,Training,0.7550085485501481
24,0.526927289,0.5,1.0,1.0,1.0,12.78,7.78,72,77,Training,0.5616625754927027
25,0.931575027,0.75,1.0,1.0,1.0,12.78,7.78,72,77,Training,0.8470958801845522
26,0.630550799,1.0,1.0,1.0,1.0,12.78,7.78,72,77,Training,0.6262123698982702
27,0.512288977,0.25,1.0,1.0,1.0,12.22,3.89,58,86,Training,0.5506958088116598
28,0.49310923,0.5,1.0,1.0,1.0,12.22,3.89,58,86,Training,0.5616625754927027
31,0.469407366,0.25,1.0,1.0,1.0,12.22,10.0,88,106,Training,0.552439669343489
33,0.938063443,0.75,1.0,1.0,1.0,12.22,10.0,88,106,Training,0.8519582316509575
34,0.599789035,1.0,1.0,1.0,1.0,12.22,10.0,88,106,Training,0.6102212855238213
35,0.50625535,0.25,1.0,1.0,1.0,17.22,1.11,34,112,Training,0.552439669343489
37,0.976720713,0.75,1.0,1.0,1.0,17.22,1.11,34,112,Training,0.8536501341509575
38,0.594969815,1.0,1.0,1.0,1.0,17.22,1.11,34,112,Training,0.6119131880238212
39,0.56449392,0.25,1.0,1.0,1.0,16.11,2.78,42,119,Training,0.5658437983653618
40,0.572828838,0.5,1.0,1.0,1.0,16.11,2.78,42,119,Training,0.5634064360245319
41,0.941025618,0.75,1.0,1.0,1.0,16.11,2.78,42,119,Training,0.8527295221009575
42,0.612252669,1.0,1.0,1.0,1.0,16.11,2.78,42,119,Training,0.6109925759738213
43,0.558211279,0.25,1.0,1.0,1.0,16.11,8.89,63,126,Training,0.5658437983653618
44,0.619732991,0.5,1.0,1.0,1.0,16.11,8.89,63,126,Training,0.5634064360245319
45,0.578923923,1.0,1.0,1.0,1.0,16.11,8.89,63,126,Training,0.5897022659502119
46,0.550608381,0.5,1.0,1.0,1.0,15.0,11.11,77,133,Training,0.5634064360245319
