index,PCE,quantity DS HTL,ratio P3HT:PCBM,P3HT,PCBM,temperature,dew point,hummidity,time,Set,PCE_pred
1,1.167700824,0.25,1.0,1.0,1.0,22.22,12.78,57,0,Training,0.91704138227713
2,0.917374729,0.5,1.0,1.0,1.0,22.22,12.78,57,0,Training,0.97525760941423
3,1.297104192,0.75,1.0,1.0,1.0,22.22,12.78,57,0,Training,1.0334738365513296
4,1.266052273,1.0,1.0,1.0,1.0,22.22,12.78,57,0,Training,1.0916900636884297
5,1.090125305,0.25,1.0,1.0,1.0,20.0,3.89,35,15,Training,0.8132387111661037
6,1.052921425,0.75,1.0,1.0,1.0,20.0,3.89,35,15,Training,0.9296711654403038
8,1.026983796,0.25,1.0,1.0,1.0,17.78,6.11,45,21,Training,0.7873883373869635
9,0.895599657,0.5,1.0,1.0,1.0,17.78,6.11,45,21,Training,0.8456045645240635
10,1.10519924,0.75,1.0,1.0,1.0,17.78,6.11,45,21,Training,0.9038207916611636
11,1.097714257,0.75,1.0,1.0,1.0,12.22,2.78,54,28,Training,0.8115833811282862
12,1.049343127,1.0,1.0,1.0,1.0,12.22,2.78,54,28,Training,0.8697996082653863
13,0.930444648,0.25,1.0,1.0,1.0,15.0,3.89,48,29,Training,0.729297782898662
14,0.828436035,0.5,1.0,1.0,1.0,15.0,3.89,48,29,Training,0.787514010035762
15,1.027485609,0.75,1.0,1.0,1.0,15.0,3.89,48,29,Training,0.8457302371728617
16,0.777663712,1.0,1.0,1.0,1.0,15.0,3.89,48,29,Training,0.9039464643099617
17,0.772365315,0.25,1.0,1.0,1.0,17.22,5.0,45,34,Training,0.7498674343768277
18,0.952883848,0.75,1.0,1.0,1.0,17.22,5.0,45,34,Training,0.8662998886510274
19,0.971529676,1.0,1.0,1.0,1.0,17.22,5.0,45,34,Training,0.9245161157881274
22,0.804678271,0.75,1.0,1.0,1.0,16.11,8.89,63,55,Training,0.8345352710501455
24,0.526927289,0.5,1.0,1.0,1.0,12.78,7.78,72,77,Training,0.6906167623943602
25,0.931575027,0.75,1.0,1.0,1.0,12.78,7.78,72,77,Training,0.7488329895314603
26,0.630550799,1.0,1.0,1.0,1.0,12.78,7.78,72,77,Training,0.8070492166685599
27,0.512288977,0.25,1.0,1.0,1.0,12.22,3.89,58,86,Training,0.585189933261675
28,0.49310923,0.5,1.0,1.0,1.0,12.22,3.89,58,86,Training,0.6434061603987746
29,0.975388026,0.75,1.0,1.0,1.0,12.22,3.89,58,86,Training,0.7016223875358747
30,0.61278982,1.0,1.0,1.0,1.0,12.22,3.89,58,86,Training,0.7598386146729748
31,0.469407366,0.25,1.0,1.0,1.0,12.22,10.0,88,106,Training,0.5836594642909525
32,0.599438841,0.5,1.0,1.0,1.0,12.22,10.0,88,106,Training,0.6418756914280521
33,0.938063443,0.75,1.0,1.0,1.0,12.22,10.0,88,106,Training,0.7000919185651522
34,0.599789035,1.0,1.0,1.0,1.0,12.22,10.0,88,106,Training,0.7583081457022522
35,0.50625535,0.25,1.0,1.0,1.0,17.22,1.11,34,112,Training,0.5725679507817378
37,0.976720713,0.75,1.0,1.0,1.0,17.22,1.11,34,112,Training,0.6890004050559375
38,0.594969815,1.0,1.0,1.0,1.0,17.22,1.11,34,112,Training,0.7472166321930376
39,0.56449392,0.25,1.0,1.0,1.0,16.11,2.78,42,119,Training,0.5552707300063002
