index,PCE,quantity DS HTL,ratio P3HT:PCBM,P3HT,PCBM,temperature,dew point,hummidity,time,Set,PCE_pred
1,1.167700824,0.25,1.0,1.0,1.0,22.22,12.78,57,0,Training,0.8004206415156342
2,0.917374729,0.5,1.0,1.0,1.0,22.22,12.78,57,0,Training,0.8564409216270229
3,1.297104192,0.75,1.0,1.0,1.0,22.22,12.78,57,0,Training,0.9124612017384116
4,1.266052273,1.0,1.0,1.0,1.0,22.22,12.78,57,0,Training,0.9684814818498003
5,1.090125305,0.25,1.0,1.0,1.0,20.0,3.89,35,15,Training,0.7734926380664379
6,1.052921425,0.75,1.0,1.0,1.0,20.0,3.89,35,15,Training,0.8855331982892153
8,1.026983796,0.25,1.0,1.0,1.0,17.78,6.11,45,21,Training,0.7627214366867595
9,0.895599657,0.5,1.0,1.0,1.0,17.78,6.11,45,21,Training,0.818741716798148
10,1.10519924,0.75,1.0,1.0,1.0,17.78,6.11,45,21,Training,0.8747619969095367
11,1.097714257,0.75,1.0,1.0,1.0,12.22,2.78,54,28,Training,0.8621955952999117
12,1.049343127,1.0,1.0,1.0,1.0,12.22,2.78,54,28,Training,0.9182158754113005
13,0.930444648,0.25,1.0,1.0,1.0,15.0,3.89,48,29,Training,0.7483598348471879
14,0.828436035,0.5,1.0,1.0,1.0,15.0,3.89,48,29,Training,0.8043801149585769
15,1.027485609,0.75,1.0,1.0,1.0,15.0,3.89,48,29,Training,0.8604003950699654
16,0.777663712,1.0,1.0,1.0,1.0,15.0,3.89,48,29,Training,0.9164206751813541
17,0.772365315,0.25,1.0,1.0,1.0,17.22,5.0,45,34,Training,0.739383833697456
18,0.952883848,0.75,1.0,1.0,1.0,17.22,5.0,45,34,Training,0.8514243939202334
19,0.971529676,1.0,1.0,1.0,1.0,17.22,5.0,45,34,Training,0.9074446740316219
22,0.804678271,0.75,1.0,1.0,1.0,16.11,8.89,63,55,Training,0.8137251890913583
24,0.526927289,0.5,1.0,1.0,1.0,12.78,7.78,72,77,Training,0.7182105039211483
25,0.931575027,0.75,1.0,1.0,1.0,12.78,7.78,72,77,Training,0.7742307840325372
26,0.630550799,1.0,1.0,1.0,1.0,12.78,7.78,72,77,Training,0.8302510641439257
27,0.512288977,0.25,1.0,1.0,1.0,12.22,3.89,58,86,Training,0.6460334217402418
28,0.49310923,0.5,1.0,1.0,1.0,12.22,3.89,58,86,Training,0.7020537018516307
29,0.975388026,0.75,1.0,1.0,1.0,12.22,3.89,58,86,Training,0.7580739819630192
30,0.61278982,1.0,1.0,1.0,1.0,12.22,3.89,58,86,Training,0.8140942620744082
31,0.469407366,0.25,1.0,1.0,1.0,12.22,10.0,88,106,Training,0.6101294171413135
32,0.599438841,0.5,1.0,1.0,1.0,12.22,10.0,88,106,Training,0.6661496972527025
33,0.938063443,0.75,1.0,1.0,1.0,12.22,10.0,88,106,Training,0.7221699773640909
34,0.599789035,1.0,1.0,1.0,1.0,12.22,10.0,88,106,Training,0.7781902574754799
35,0.50625535,0.25,1.0,1.0,1.0,17.22,1.11,34,112,Training,0.5993582157616352
37,0.976720713,0.75,1.0,1.0,1.0,17.22,1.11,34,112,Training,0.7113987759844126
38,0.594969815,1.0,1.0,1.0,1.0,17.22,1.11,34,112,Training,0.7674190560958011
39,0.56449392,0.25,1.0,1.0,1.0,16.11,2.78,42,119,Training,0.58679181415201
40,0.572828838,0.5,1.0,1.0,1.0,16.11,2.78,42,119,Training,0.6428120942633989
41,0.941025618,0.75,1.0,1.0,1.0,16.11,2.78,42,119,Training,0.6988323743747874
42,0.612252669,1.0,1.0,1.0,1.0,16.11,2.78,42,119,Training,0.7548526544861763
43,0.558211279,0.25,1.0,1.0,1.0,16.11,8.89,63,126,Training,0.5742254125423852
48,0.559081092,1.0,1.0,1.0,1.0,15.0,11.11,77,133,Training,0.7297198512669264
49,0.565806852,0.25,1.0,1.0,1.0,17.22,10.0,63,140,Training,0.5490926093231353
50,0.615202319,0.5,1.0,1.0,1.0,17.22,10.0,63,140,Training,0.6051128894345238
52,0.560455809,0.25,1.0,1.0,1.0,12.78,11.11,88,147,Training,0.5365262077135101
53,0.616551214,0.5,1.0,1.0,1.0,12.78,11.11,88,147,Training,0.592546487824899
54,0.955921155,0.75,1.0,1.0,1.0,12.78,11.11,88,147,Training,0.6485667679362875
55,0.514115959,1.0,1.0,1.0,1.0,12.78,11.11,88,147,Training,0.7045870480476765
57,0.545409271,0.5,1.0,1.0,1.0,15.0,12.22,82,154,Training,0.5799800862152739
58,0.945294468,0.75,1.0,1.0,1.0,15.0,12.22,82,154,Training,0.6360003663266628
59,0.553495466,1.0,1.0,1.0,1.0,15.0,12.22,82,154,Training,0.6920206464380513
60,0.474499473,0.25,1.0,1.0,1.0,12.78,6.11,63,161,Training,0.5113934044942602
61,0.439277795,0.5,1.0,1.0,1.0,12.78,6.11,63,161,Training,0.5674136846056491
62,0.92418169,0.75,1.0,1.0,1.0,12.78,6.11,63,161,Training,0.6234339647170376
63,0.502315965,0.25,1.0,1.0,1.0,17.22,12.78,77,168,Training,0.49882700288463544
64,0.485541077,0.5,1.0,1.0,1.0,17.22,12.78,77,168,Training,0.5548472829960239
65,0.771581494,0.75,1.0,1.0,1.0,17.22,12.78,77,168,Training,0.6108675631074129
66,0.528539973,1.0,1.0,1.0,1.0,17.22,12.78,77,168,Training,0.6668878432188013
67,0.475635533,1.0,1.0,1.0,1.0,18.89,10.0,56,182,Training,0.6417550399995519
68,0.520331847,0.5,1.2,1.2,1.0,17.22,2.78,39,0,Training,0.5478006430096934
69,0.618715365,0.5,1.1,1.1,1.0,17.22,2.78,39,0,Training,0.7021207823183577
70,0.701260448,0.5,1.0,1.0,1.0,17.22,2.78,39,0,Training,0.8564409216270229
71,0.532585739,0.5,1.11,1.0,0.9,17.22,2.78,39,0,Training,0.5656371440885583
72,1.316409005,0.5,1.25,1.0,0.8,17.22,2.78,39,0,Training,1.159241351799659
74,0.528664002,0.5,1.1,1.1,1.0,20.0,3.89,35,7,Training,0.6895543807087328
75,0.629452696,0.5,1.0,1.0,1.0,20.0,3.89,35,7,Training,0.8438745200173979
77,1.179071417,0.5,1.25,1.0,0.8,20.0,3.89,35,7,Training,1.1466749501900346
80,0.631244487,0.5,1.0,1.0,1.0,17.78,6.11,45,13,Training,0.8331033186377196
81,0.427945073,0.5,1.11,1.0,0.9,17.78,6.11,45,13,Training,0.5422995410992547
82,1.193734878,0.5,1.25,1.0,0.8,17.78,6.11,45,13,Training,1.1359037488103554
84,0.506974214,0.5,1.1,1.1,1.0,12.22,2.78,54,20,Training,0.6662167777194293
86,1.147635124,0.5,1.25,1.0,0.8,12.22,2.78,54,20,Training,1.123337347200731
87,0.384668315,0.5,1.2,1.2,1.0,15.0,3.89,48,21,Training,0.5101014381808188
88,0.49736583,0.5,1.1,1.1,1.0,15.0,3.89,48,21,Training,0.6644215774894828
89,0.585049053,0.5,1.0,1.0,1.0,15.0,3.89,48,21,Training,0.818741716798148
90,0.411925115,0.5,1.11,1.0,0.9,15.0,3.89,48,21,Training,0.5279379392596834
91,1.128362401,0.5,1.25,1.0,0.8,15.0,3.89,48,21,Training,1.1215421469707842
92,0.453021355,0.5,1.1,1.1,1.0,17.22,5.0,45,26,Training,0.6554455763397508
94,0.418292641,0.5,1.11,1.0,0.9,17.22,5.0,45,26,Training,0.5189619381099514
97,0.496965052,0.5,1.1,1.1,1.0,16.11,8.89,63,47,Training,0.617746371510876
100,0.350119849,0.5,1.2,1.2,1.0,12.78,7.78,72,69,Training,0.4239318271433906
101,0.434195639,0.5,1.1,1.1,1.0,12.78,7.78,72,69,Training,0.5782519664520547
102,0.539906641,0.5,1.0,1.0,1.0,12.78,7.78,72,69,Training,0.7325721057607198
103,0.372726732,0.5,1.11,1.0,0.9,12.78,7.78,72,69,Training,0.4417683282222552
105,0.456260932,0.5,1.1,1.1,1.0,12.22,3.89,58,78,Training,0.5620951643825368
106,0.536703421,0.5,1.0,1.0,1.0,12.22,3.89,58,78,Training,0.7164153036912019
107,0.385337873,0.5,1.11,1.0,0.9,12.22,3.89,58,78,Training,0.42561152615273745
108,0.372614967,0.5,1.2,1.2,1.0,12.22,10.0,88,98,Training,0.37187102047494436
109,0.4830183,0.5,1.1,1.1,1.0,12.22,10.0,88,98,Training,0.5261911597836084
110,0.561212369,0.5,1.0,1.0,1.0,12.22,10.0,88,98,Training,0.6805112990922736
112,0.989621572,0.5,1.25,1.0,0.8,12.22,10.0,88,98,Training,0.9833117292649097
113,0.356893347,0.5,1.2,1.2,1.0,17.22,1.11,34,104,Training,0.361099819095266
114,0.574729323,0.5,1.0,1.0,1.0,17.22,1.11,34,104,Training,0.6697400977125952
115,0.340614017,0.5,1.11,1.0,0.9,17.22,1.11,34,104,Training,0.37893632017413037
116,0.892249893,0.5,1.25,1.0,0.8,17.22,1.11,34,104,Training,0.9725405278852314
117,0.371755573,0.5,1.2,1.2,1.0,16.11,2.78,42,111,Training,0.3485334174856408
118,0.468562853,0.5,1.1,1.1,1.0,16.11,2.78,42,111,Training,0.502853556794305
119,0.579998859,0.5,1.0,1.0,1.0,16.11,2.78,42,111,Training,0.65717369610297
120,0.400197432,0.5,1.11,1.0,0.9,16.11,2.78,42,111,Training,0.3663699185645054
121,0.941690931,0.5,1.25,1.0,0.8,16.11,2.78,42,111,Training,0.9599741262756062
122,0.352322598,0.5,1.2,1.2,1.0,16.11,8.89,63,118,Training,0.3359670158760161
123,0.403766566,0.5,1.1,1.1,1.0,16.11,8.89,63,118,Training,0.49028715518468
125,0.363799107,0.5,1.2,1.2,1.0,15.0,11.11,77,125,Training,0.3234006142663909
128,0.369159567,0.5,1.2,1.2,1.0,17.22,10.0,63,132,Training,0.31083421265676614
129,0.476260423,0.5,1.1,1.1,1.0,17.22,10.0,63,132,Training,0.4651543519654301
130,0.509081229,0.5,1.0,1.0,1.0,17.22,10.0,63,132,Training,0.6194744912740954
131,0.37035753,0.5,1.11,1.0,0.9,17.22,10.0,63,132,Training,0.3286707137356307
134,0.479060095,0.5,1.1,1.1,1.0,12.78,11.11,88,139,Training,0.4525879503558051
136,0.372331527,0.5,1.11,1.0,0.9,12.78,11.11,88,139,Training,0.31610431212600576
137,0.879525394,0.5,1.25,1.0,0.8,12.78,11.11,88,139,Training,0.9097085198371063
138,0.355417298,0.5,1.2,1.2,1.0,15.0,12.22,82,146,Training,0.2857014094375162
139,0.462781497,0.5,1.1,1.1,1.0,15.0,12.22,82,146,Training,0.44002154874618027
140,0.563189777,0.5,1.0,1.0,1.0,15.0,12.22,82,146,Training,0.5943416880548454
141,0.354058686,0.5,1.11,1.0,0.9,15.0,12.22,82,146,Training,0.3035379105163808
142,0.919770884,0.5,1.25,1.0,0.8,15.0,12.22,82,146,Training,0.8971421182274811
143,0.353683633,0.5,1.2,1.2,1.0,12.78,6.11,63,153,Training,0.273135007827891
144,0.586818948,0.5,1.0,1.0,1.0,12.78,6.11,63,153,Training,0.5817752864452203
145,0.356698391,0.5,1.2,1.2,1.0,17.22,12.78,77,160,Training,0.2605686062182663
147,0.555027614,0.5,1.0,1.0,1.0,17.22,12.78,77,160,Training,0.5692088848355955
148,0.328186539,0.5,1.11,1.0,0.9,17.22,12.78,77,160,Training,0.27840510729713086
150,0.370432077,0.5,1.2,1.2,1.0,18.89,10.0,56,174,Training,0.23543580299901634
151,0.439298807,0.5,1.1,1.1,1.0,18.89,10.0,56,174,Training,0.3897559423076804
152,0.560664302,0.5,1.0,1.0,1.0,18.89,10.0,56,174,Training,0.5440760816163456
153,0.344411681,0.5,1.11,1.0,0.9,18.89,10.0,56,174,Training,0.2532723040778809
154,0.854300392,0.5,1.25,1.0,0.8,18.89,10.0,56,174,Training,0.8468765117889822
155,0.364228311,0.5,1.2,1.2,1.0,15.0,13.89,94,181,Training,0.2228694013893916
156,0.430383646,0.5,1.1,1.1,1.0,15.0,13.89,94,181,Training,0.37718954069805555
157,0.460062653,0.5,1.0,1.0,1.0,15.0,13.89,94,181,Training,0.5315096800067208
158,0.265207881,0.5,1.11,1.0,0.9,15.0,13.89,94,181,Training,0.24070590246825596
159,0.766864312,0.5,1.25,1.0,0.8,15.0,13.89,94,181,Training,0.834310110179357
162,0.29017084,0.5,1.11,1.0,0.9,22.78,12.22,50,188,Training,0.228139500858631
163,0.703070694,0.5,1.25,1.0,0.8,22.78,12.22,50,188,Training,0.8217437085697318
164,0.452497191,0.5,1.0,1.0,1.0,22.78,18.89,78,195,Training,0.5063768767874709
165,0.3175822,0.5,1.11,1.0,0.9,22.78,18.89,78,195,Training,0.21557309924900614
166,0.326595166,0.5,1.2,1.2,1.0,22.78,6.11,33,202,Training,0.18517019656051648
