index,PCE,quantity DS HTL,ratio P3HT:PCBM,P3HT,PCBM,temperature,dew point,hummidity,time,Set,PCE_pred
1,1.167700824,0.25,1.0,1.0,1.0,22.22,12.78,57,0,Training,1.0666434209935236
2,0.917374729,0.5,1.0,1.0,1.0,22.22,12.78,57,0,Training,0.8723841712479784
3,1.297104192,0.75,1.0,1.0,1.0,22.22,12.78,57,0,Training,1.1485143409170375
4,1.266052273,1.0,1.0,1.0,1.0,22.22,12.78,57,0,Training,1.0496955365883063
5,1.090125305,0.25,1.0,1.0,1.0,20.0,3.89,35,15,Training,1.011390666845684
6,1.052921425,0.75,1.0,1.0,1.0,20.0,3.89,35,15,Training,1.0429921115170884
8,1.026983796,0.25,1.0,1.0,1.0,17.78,6.11,45,21,Training,0.9021233049201076
9,0.895599657,0.5,1.0,1.0,1.0,17.78,6.11,45,21,Training,0.823509294201681
10,1.10519924,0.75,1.0,1.0,1.0,17.78,6.11,45,21,Training,1.0347235695577843
11,1.097714257,0.75,1.0,1.0,1.0,12.22,2.78,54,28,Training,1.0524444148208791
12,1.049343127,1.0,1.0,1.0,1.0,12.22,2.78,54,28,Training,0.8893403079192742
13,0.930444648,0.25,1.0,1.0,1.0,15.0,3.89,48,29,Training,0.7490298174978272
14,0.828436035,0.5,1.0,1.0,1.0,15.0,3.89,48,29,Training,0.6961311131049515
15,1.027485609,0.75,1.0,1.0,1.0,15.0,3.89,48,29,Training,1.0049477679374765
16,0.777663712,1.0,1.0,1.0,1.0,15.0,3.89,48,29,Training,0.7897286288341927
17,0.772365315,0.25,1.0,1.0,1.0,17.22,5.0,45,34,Training,0.8520817967688314
18,0.952883848,0.75,1.0,1.0,1.0,17.22,5.0,45,34,Training,1.0252956339892487
19,0.971529676,1.0,1.0,1.0,1.0,17.22,5.0,45,34,Training,0.8280224965804145
22,0.804678271,0.75,1.0,1.0,1.0,16.11,8.89,63,55,Training,0.8230018450258673
24,0.526927289,0.5,1.0,1.0,1.0,12.78,7.78,72,77,Training,0.5479020471835057
25,0.931575027,0.75,1.0,1.0,1.0,12.78,7.78,72,77,Training,0.8676975413522371
26,0.630550799,1.0,1.0,1.0,1.0,12.78,7.78,72,77,Training,0.6366810111013239
27,0.512288977,0.25,1.0,1.0,1.0,12.22,3.89,58,86,Training,0.5891189186183093
28,0.49310923,0.5,1.0,1.0,1.0,12.22,3.89,58,86,Training,0.5771219980412384
29,0.975388026,0.75,1.0,1.0,1.0,12.22,3.89,58,86,Training,0.9771999200654996
30,0.61278982,1.0,1.0,1.0,1.0,12.22,3.89,58,86,Training,0.7959191950460016
31,0.469407366,0.25,1.0,1.0,1.0,12.22,10.0,88,106,Training,0.5060829984820736
32,0.599438841,0.5,1.0,1.0,1.0,12.22,10.0,88,106,Training,0.5698692372908506
33,0.938063443,0.75,1.0,1.0,1.0,12.22,10.0,88,106,Training,0.9053829954367266
34,0.599789035,1.0,1.0,1.0,1.0,12.22,10.0,88,106,Training,0.6535787532924361
35,0.50625535,0.25,1.0,1.0,1.0,17.22,1.11,34,112,Training,0.5553254209031078
37,0.976720713,0.75,1.0,1.0,1.0,17.22,1.11,34,112,Training,0.8613239279148659
38,0.594969815,1.0,1.0,1.0,1.0,17.22,1.11,34,112,Training,0.707542875729102
39,0.56449392,0.25,1.0,1.0,1.0,16.11,2.78,42,119,Training,0.6508394994953329
40,0.572828838,0.5,1.0,1.0,1.0,16.11,2.78,42,119,Training,0.6274969989334525
41,0.941025618,0.75,1.0,1.0,1.0,16.11,2.78,42,119,Training,0.9365758147745887
42,0.612252669,1.0,1.0,1.0,1.0,16.11,2.78,42,119,Training,0.7253860364972289
43,0.558211279,0.25,1.0,1.0,1.0,16.11,8.89,63,126,Training,0.6176209580947282
48,0.559081092,1.0,1.0,1.0,1.0,15.0,11.11,77,133,Training,0.5502647896367788
49,0.565806852,0.25,1.0,1.0,1.0,17.22,10.0,63,140,Training,0.6208323318359543
50,0.615202319,0.5,1.0,1.0,1.0,17.22,10.0,63,140,Training,0.5646736661741854
52,0.560455809,0.25,1.0,1.0,1.0,12.78,11.11,88,147,Training,0.5004331189448156
53,0.616551214,0.5,1.0,1.0,1.0,12.78,11.11,88,147,Training,0.582761607739666
54,0.955921155,0.75,1.0,1.0,1.0,12.78,11.11,88,147,Training,0.9121992867864002
55,0.514115959,1.0,1.0,1.0,1.0,12.78,11.11,88,147,Training,0.6445359096774599
57,0.545409271,0.5,1.0,1.0,1.0,15.0,12.22,82,154,Training,0.540761204015313
58,0.945294468,0.75,1.0,1.0,1.0,15.0,12.22,82,154,Training,0.860345545430539
59,0.553495466,1.0,1.0,1.0,1.0,15.0,12.22,82,154,Training,0.5691288067546844
60,0.474499473,0.25,1.0,1.0,1.0,12.78,6.11,63,161,Training,0.5630757590482289
61,0.439277795,0.5,1.0,1.0,1.0,12.78,6.11,63,161,Training,0.5383845755221786
62,0.92418169,0.75,1.0,1.0,1.0,12.78,6.11,63,161,Training,0.8769519832040935
63,0.502315965,0.25,1.0,1.0,1.0,17.22,12.78,77,168,Training,0.5466852803193978
64,0.485541077,0.5,1.0,1.0,1.0,17.22,12.78,77,168,Training,0.5165302437609103
65,0.771581494,0.75,1.0,1.0,1.0,17.22,12.78,77,168,Training,0.7859160046115542
66,0.528539973,1.0,1.0,1.0,1.0,17.22,12.78,77,168,Training,0.6125776886301784
67,0.475635533,1.0,1.0,1.0,1.0,18.89,10.0,56,182,Training,0.7506278683030829
68,0.520331847,0.5,1.2,1.2,1.0,17.22,2.78,39,0,Training,0.46650287606152296
69,0.618715365,0.5,1.1,1.1,1.0,17.22,2.78,39,0,Training,0.538777124282515
70,0.701260448,0.5,1.0,1.0,1.0,17.22,2.78,39,0,Training,0.6835057196687179
71,0.532585739,0.5,1.11,1.0,0.9,17.22,2.78,39,0,Training,0.4667116895601944
72,1.316409005,0.5,1.25,1.0,0.8,17.22,2.78,39,0,Training,1.189965211812288
74,0.528664002,0.5,1.1,1.1,1.0,20.0,3.89,35,7,Training,0.5405438909077199
75,0.629452696,0.5,1.0,1.0,1.0,20.0,3.89,35,7,Training,0.8012097720402556
77,1.179071417,0.5,1.25,1.0,0.8,20.0,3.89,35,7,Training,1.1722647857309267
80,0.631244487,0.5,1.0,1.0,1.0,17.78,6.11,45,13,Training,0.823509294201681
81,0.427945073,0.5,1.11,1.0,0.9,17.78,6.11,45,13,Training,0.400836938340873
82,1.193734878,0.5,1.25,1.0,0.8,17.78,6.11,45,13,Training,1.1614743592804846
84,0.506974214,0.5,1.1,1.1,1.0,12.22,2.78,54,20,Training,0.5326029771215179
86,1.147635124,0.5,1.25,1.0,0.8,12.22,2.78,54,20,Training,1.1384532823723805
87,0.384668315,0.5,1.2,1.2,1.0,15.0,3.89,48,21,Training,0.3855536860667602
88,0.49736583,0.5,1.1,1.1,1.0,15.0,3.89,48,21,Training,0.4807992219451499
89,0.585049053,0.5,1.0,1.0,1.0,15.0,3.89,48,21,Training,0.6961311131049515
90,0.411925115,0.5,1.11,1.0,0.9,15.0,3.89,48,21,Training,0.45546816578896904
91,1.128362401,0.5,1.25,1.0,0.8,15.0,3.89,48,21,Training,1.1528526338321194
92,0.453021355,0.5,1.1,1.1,1.0,17.22,5.0,45,26,Training,0.5267513383705447
94,0.418292641,0.5,1.11,1.0,0.9,17.22,5.0,45,26,Training,0.4546611319413353
97,0.496965052,0.5,1.1,1.1,1.0,16.11,8.89,63,47,Training,0.46385855958591604
100,0.350119849,0.5,1.2,1.2,1.0,12.78,7.78,72,69,Training,0.3147329628705635
101,0.434195639,0.5,1.1,1.1,1.0,12.78,7.78,72,69,Training,0.5022633773529901
102,0.539906641,0.5,1.0,1.0,1.0,12.78,7.78,72,69,Training,0.5479020471835057
103,0.372726732,0.5,1.11,1.0,0.9,12.78,7.78,72,69,Training,0.3824703647260268
105,0.456260932,0.5,1.1,1.1,1.0,12.22,3.89,58,78,Training,0.5142675905314956
106,0.536703421,0.5,1.0,1.0,1.0,12.22,3.89,58,78,Training,0.5771219980412384
107,0.385337873,0.5,1.11,1.0,0.9,12.22,3.89,58,78,Training,0.4129672335919562
108,0.372614967,0.5,1.2,1.2,1.0,12.22,10.0,88,98,Training,0.34738430558719424
109,0.4830183,0.5,1.1,1.1,1.0,12.22,10.0,88,98,Training,0.47533374217324575
110,0.561212369,0.5,1.0,1.0,1.0,12.22,10.0,88,98,Training,0.5698692372908506
112,0.989621572,0.5,1.25,1.0,0.8,12.22,10.0,88,98,Training,0.9851292362885814
113,0.356893347,0.5,1.2,1.2,1.0,17.22,1.11,34,104,Training,0.4151414013548781
114,0.574729323,0.5,1.0,1.0,1.0,17.22,1.11,34,104,Training,0.5905795506470547
115,0.340614017,0.5,1.11,1.0,0.9,17.22,1.11,34,104,Training,0.3675237511920796
116,0.892249893,0.5,1.25,1.0,0.8,17.22,1.11,34,104,Training,1.041726640961648
117,0.371755573,0.5,1.2,1.2,1.0,16.11,2.78,42,111,Training,0.4061799505789859
118,0.468562853,0.5,1.1,1.1,1.0,16.11,2.78,42,111,Training,0.4956606531744495
119,0.579998859,0.5,1.0,1.0,1.0,16.11,2.78,42,111,Training,0.6274969989334525
