index,PCE,quantity DS HTL,ratio P3HT:PCBM,P3HT,PCBM,temperature,dew point,hummidity,time,Set,PCE_pred
2,0.917374729,0.5,1.0,1.0,1.0,22.22,12.78,57,0,Training,0.8667585183073137
3,1.297104192,0.75,1.0,1.0,1.0,22.22,12.78,57,0,Training,1.220806254027109
4,1.266052273,1.0,1.0,1.0,1.0,22.22,12.78,57,0,Training,1.279836138694082
5,1.090125305,0.25,1.0,1.0,1.0,20.0,3.89,35,15,Training,0.9231133913692012
6,1.052921425,0.75,1.0,1.0,1.0,20.0,3.89,35,15,Training,1.020854549489288
7,1.119102305,1.0,1.0,1.0,1.0,20.0,3.89,35,15,Training,1.0790054537591371
8,1.026983796,0.25,1.0,1.0,1.0,17.78,6.11,45,21,Training,0.8917037347113387
9,0.895599657,0.5,1.0,1.0,1.0,17.78,6.11,45,21,Training,0.6747406598774763
10,1.10519924,0.75,1.0,1.0,1.0,17.78,6.11,45,21,Training,0.988532920278076
11,1.097714257,0.75,1.0,1.0,1.0,12.22,2.78,54,28,Training,1.0698322110678835
12,1.049343127,1.0,1.0,1.0,1.0,12.22,2.78,54,28,Training,0.9199083354695509
13,0.930444648,0.25,1.0,1.0,1.0,15.0,3.89,48,29,Training,0.7306947034613375
14,0.828436035,0.5,1.0,1.0,1.0,15.0,3.89,48,29,Training,0.5904482508469608
15,1.027485609,0.75,1.0,1.0,1.0,15.0,3.89,48,29,Training,0.9724804903188332
16,0.777663712,1.0,1.0,1.0,1.0,15.0,3.89,48,29,Training,0.8351630586954909
17,0.772365315,0.25,1.0,1.0,1.0,17.22,5.0,45,34,Training,0.8026051418022502
19,0.971529676,1.0,1.0,1.0,1.0,17.22,5.0,45,34,Training,0.902637481448885
20,0.65000482,0.25,1.0,1.0,1.0,16.11,8.89,63,55,Training,0.5864452606995173
21,0.724939147,0.5,1.0,1.0,1.0,16.11,8.89,63,55,Training,0.6399613814842849
22,0.804678271,0.75,1.0,1.0,1.0,16.11,8.89,63,55,Training,0.8314498496333128
24,0.526927289,0.5,1.0,1.0,1.0,12.78,7.78,72,77,Training,0.5514201620610822
25,0.931575027,0.75,1.0,1.0,1.0,12.78,7.78,72,77,Training,0.8785017049369458
26,0.630550799,1.0,1.0,1.0,1.0,12.78,7.78,72,77,Training,0.6280471417954097
27,0.512288977,0.25,1.0,1.0,1.0,12.22,3.89,58,86,Training,0.45194995788938014
28,0.49310923,0.5,1.0,1.0,1.0,12.22,3.89,58,86,Training,0.4979115556822241
31,0.469407366,0.25,1.0,1.0,1.0,12.22,10.0,88,106,Training,0.4535963933704551
33,0.938063443,0.75,1.0,1.0,1.0,12.22,10.0,88,106,Training,0.9406633346922691
34,0.599789035,1.0,1.0,1.0,1.0,12.22,10.0,88,106,Training,0.5523268898641868
35,0.50625535,0.25,1.0,1.0,1.0,17.22,1.11,34,112,Training,0.47102433957295153
37,0.976720713,0.75,1.0,1.0,1.0,17.22,1.11,34,112,Training,0.8664977850857004
38,0.594969815,1.0,1.0,1.0,1.0,17.22,1.11,34,112,Training,0.6422334492599708
39,0.56449392,0.25,1.0,1.0,1.0,16.11,2.78,42,119,Training,0.46512309681772235
40,0.572828838,0.5,1.0,1.0,1.0,16.11,2.78,42,119,Training,0.5119055522931084
41,0.941025618,0.75,1.0,1.0,1.0,16.11,2.78,42,119,Training,0.8972570558461244
43,0.558211279,0.25,1.0,1.0,1.0,16.11,8.89,63,126,Training,0.4991675285157102
