index,PCE,quantity DS HTL,ratio P3HT:PCBM,P3HT,PCBM,temperature,dew point,hummidity,time,Set,PCE_pred
1,1.167700824,0.25,1.0,1.0,1.0,22.22,12.78,57,0,Training,0.9930952485000001
2,0.917374729,0.5,1.0,1.0,1.0,22.22,12.78,57,0,Training,0.8646303122000001
3,1.297104192,0.75,1.0,1.0,1.0,22.22,12.78,57,0,Training,1.1672620526499997
4,1.266052273,1.0,1.0,1.0,1.0,22.22,12.78,57,0,Training,1.1456676187999997
5,1.090125305,0.25,1.0,1.0,1.0,20.0,3.89,35,15,Training,0.9116679616000001
6,1.052921425,0.75,1.0,1.0,1.0,20.0,3.89,35,15,Training,1.0344942280500002
8,1.026983796,0.25,1.0,1.0,1.0,17.78,6.11,45,21,Training,0.8505361536
9,0.895599657,0.5,1.0,1.0,1.0,17.78,6.11,45,21,Training,0.7721244892499999
10,1.10519924,0.75,1.0,1.0,1.0,17.78,6.11,45,21,Training,1.0516230003
11,1.097714257,0.75,1.0,1.0,1.0,12.22,2.78,54,28,Training,1.02449264795
12,1.049343127,1.0,1.0,1.0,1.0,12.22,2.78,54,28,Training,0.9861885037999999
13,0.930444648,0.25,1.0,1.0,1.0,15.0,3.89,48,29,Training,0.78423041315
15,1.027485609,0.75,1.0,1.0,1.0,15.0,3.89,48,29,Training,0.9846316641999999
16,0.777663712,1.0,1.0,1.0,1.0,15.0,3.89,48,29,Training,0.8808931563999998
17,0.772365315,0.25,1.0,1.0,1.0,17.22,5.0,45,34,Training,0.7447234489999999
18,0.952883848,0.75,1.0,1.0,1.0,17.22,5.0,45,34,Training,0.9624612390499999
19,0.971529676,1.0,1.0,1.0,1.0,17.22,5.0,45,34,Training,0.8689909079999998
20,0.65000482,0.25,1.0,1.0,1.0,16.11,8.89,63,55,Training,0.65418853825
21,0.724939147,0.5,1.0,1.0,1.0,16.11,8.89,63,55,Training,0.6352505733999998
22,0.804678271,0.75,1.0,1.0,1.0,16.11,8.89,63,55,Training,0.8726860035999999
23,0.783651754,1.0,1.0,1.0,1.0,16.11,8.89,63,55,Training,0.7323619359999998
24,0.526927289,0.5,1.0,1.0,1.0,12.78,7.78,72,77,Training,0.5605904049499999
25,0.931575027,0.75,1.0,1.0,1.0,12.78,7.78,72,77,Training,0.9373641533500001
26,0.630550799,1.0,1.0,1.0,1.0,12.78,7.78,72,77,Training,0.6895581546499999
27,0.512288977,0.25,1.0,1.0,1.0,12.22,3.89,58,86,Training,0.5138721131500001
28,0.49310923,0.5,1.0,1.0,1.0,12.22,3.89,58,86,Training,0.51645068005
29,0.975388026,0.75,1.0,1.0,1.0,12.22,3.89,58,86,Training,0.9532886403
30,0.61278982,1.0,1.0,1.0,1.0,12.22,3.89,58,86,Training,0.7037869358
31,0.469407366,0.25,1.0,1.0,1.0,12.22,10.0,88,106,Training,0.5102356695000001
32,0.599438841,0.5,1.0,1.0,1.0,12.22,10.0,88,106,Training,0.5457308176
33,0.938063443,0.75,1.0,1.0,1.0,12.22,10.0,88,106,Training,0.9304472627500001
35,0.50625535,0.25,1.0,1.0,1.0,17.22,1.11,34,112,Training,0.5408293253
36,0.565342929,0.5,1.0,1.0,1.0,17.22,1.11,34,112,Training,0.5697577791499999
37,0.976720713,0.75,1.0,1.0,1.0,17.22,1.11,34,112,Training,0.9378202202999999
38,0.594969815,1.0,1.0,1.0,1.0,17.22,1.11,34,112,Training,0.6798030033999999
40,0.572828838,0.5,1.0,1.0,1.0,16.11,2.78,42,119,Training,0.5772849833499999
41,0.941025618,0.75,1.0,1.0,1.0,16.11,2.78,42,119,Training,0.9548083586999999
42,0.612252669,1.0,1.0,1.0,1.0,16.11,2.78,42,119,Training,0.6865810662999999
43,0.558211279,0.25,1.0,1.0,1.0,16.11,8.89,63,126,Training,0.5497134296499999
44,0.619732991,0.5,1.0,1.0,1.0,16.11,8.89,63,126,Training,0.5754451355
45,0.578923923,1.0,1.0,1.0,1.0,16.11,8.89,63,126,Training,0.6301673341499998
46,0.550608381,0.5,1.0,1.0,1.0,15.0,11.11,77,133,Training,0.5496748060999999
