index,PCE,quantity DS HTL,ratio P3HT:PCBM,P3HT,PCBM,temperature,dew point,hummidity,time,Set,PCE_pred
1,1.167700824,0.25,1.0,1.0,1.0,22.22,12.78,57,0,Training,1.0765766907812502
2,0.917374729,0.5,1.0,1.0,1.0,22.22,12.78,57,0,Training,0.8223390139666666
3,1.297104192,0.75,1.0,1.0,1.0,22.22,12.78,57,0,Training,1.2378485909499994
4,1.266052273,1.0,1.0,1.0,1.0,22.22,12.78,57,0,Training,1.2006614811999996
5,1.090125305,0.25,1.0,1.0,1.0,20.0,3.89,35,15,Training,0.9947444161250004
6,1.052921425,0.75,1.0,1.0,1.0,20.0,3.89,35,15,Training,1.0789390844000004
7,1.119102305,1.0,1.0,1.0,1.0,20.0,3.89,35,15,Training,1.0622127442249998
8,1.026983796,0.25,1.0,1.0,1.0,17.78,6.11,45,21,Training,0.9781921316250003
9,0.895599657,0.5,1.0,1.0,1.0,17.78,6.11,45,21,Training,0.7548960025374996
10,1.10519924,0.75,1.0,1.0,1.0,17.78,6.11,45,21,Training,1.0870208688749998
11,1.097714257,0.75,1.0,1.0,1.0,12.22,2.78,54,28,Training,1.07037153775
12,1.049343127,1.0,1.0,1.0,1.0,12.22,2.78,54,28,Training,1.0115971874249998
13,0.930444648,0.25,1.0,1.0,1.0,15.0,3.89,48,29,Training,0.8599666055000006
14,0.828436035,0.5,1.0,1.0,1.0,15.0,3.89,48,29,Training,0.7283816834999999
15,1.027485609,0.75,1.0,1.0,1.0,15.0,3.89,48,29,Training,0.9957302238250001
16,0.777663712,1.0,1.0,1.0,1.0,15.0,3.89,48,29,Training,0.8973659124249996
17,0.772365315,0.25,1.0,1.0,1.0,17.22,5.0,45,34,Training,0.8284050855000006
18,0.952883848,0.75,1.0,1.0,1.0,17.22,5.0,45,34,Training,0.9653424535499999
19,0.971529676,1.0,1.0,1.0,1.0,17.22,5.0,45,34,Training,0.9311484394999999
20,0.65000482,0.25,1.0,1.0,1.0,16.11,8.89,63,55,Training,0.6568847390750001
21,0.724939147,0.5,1.0,1.0,1.0,16.11,8.89,63,55,Training,0.6676403651250002
22,0.804678271,0.75,1.0,1.0,1.0,16.11,8.89,63,55,Training,0.8847843966000001
23,0.783651754,1.0,1.0,1.0,1.0,16.11,8.89,63,55,Training,0.7516248135500002
24,0.526927289,0.5,1.0,1.0,1.0,12.78,7.78,72,77,Training,0.5298186545999999
25,0.931575027,0.75,1.0,1.0,1.0,12.78,7.78,72,77,Training,0.9050297344250005
26,0.630550799,1.0,1.0,1.0,1.0,12.78,7.78,72,77,Training,0.6745256770750004
27,0.512288977,0.25,1.0,1.0,1.0,12.22,3.89,58,86,Training,0.5030901845250002
28,0.49310923,0.5,1.0,1.0,1.0,12.22,3.89,58,86,Training,0.5098043835750002
31,0.469407366,0.25,1.0,1.0,1.0,12.22,10.0,88,106,Training,0.4982801813499999
33,0.938063443,0.75,1.0,1.0,1.0,12.22,10.0,88,106,Training,0.9417206701249998
34,0.599789035,1.0,1.0,1.0,1.0,12.22,10.0,88,106,Training,0.5965419037000002
35,0.50625535,0.25,1.0,1.0,1.0,17.22,1.11,34,112,Training,0.5206714169000001
37,0.976720713,0.75,1.0,1.0,1.0,17.22,1.11,34,112,Training,0.9533178511249997
38,0.594969815,1.0,1.0,1.0,1.0,17.22,1.11,34,112,Training,0.5954575792
39,0.56449392,0.25,1.0,1.0,1.0,16.11,2.78,42,119,Training,0.5633528883750001
40,0.572828838,0.5,1.0,1.0,1.0,16.11,2.78,42,119,Training,0.5818354208249997
41,0.941025618,0.75,1.0,1.0,1.0,16.11,2.78,42,119,Training,0.9470401987749998
42,0.612252669,1.0,1.0,1.0,1.0,16.11,2.78,42,119,Training,0.5959168611500001
