index,quantity DS HTL,P3HT,PCBM,temperature,dew point,hummidity,pressure,time,ratio P3HT:PCBM
1,0.15,0.7,0.7,17.22,2.78,39.0,1007.79,0.0,1.0
2,0.15,0.7,0.7,17.22,2.78,39.0,1007.79,1.0,1.0
3,0.15,0.7,0.7,17.22,2.78,39.0,1007.79,2.0,1.0
4,0.15,0.7,0.7,17.22,2.78,39.0,1007.79,3.0,1.0
5,0.15,0.7,0.7,17.22,2.78,39.0,1007.79,4.0,1.0
6,0.15,0.7,0.7,17.22,2.78,39.0,1007.79,5.0,1.0
7,0.15,0.7,0.7999999999999999,17.22,2.78,39.0,1007.79,0.0,0.875
8,0.15,0.7,0.7999999999999999,17.22,2.78,39.0,1007.79,1.0,0.875
9,0.15,0.7,0.7999999999999999,17.22,2.78,39.0,1007.79,2.0,0.875
10,0.15,0.7,0.7999999999999999,17.22,2.78,39.0,1007.79,3.0,0.875
11,0.15,0.7,0.7999999999999999,17.22,2.78,39.0,1007.79,4.0,0.875
12,0.15,0.7,0.7999999999999999,17.22,2.78,39.0,1007.79,5.0,0.875
13,0.15,0.7,0.9,17.22,2.78,39.0,1007.79,0.0,0.7777777777777777
14,0.15,0.7,0.9,17.22,2.78,39.0,1007.79,1.0,0.7777777777777777
15,0.15,0.7,0.9,17.22,2.78,39.0,1007.79,2.0,0.7777777777777777
16,0.15,0.7,0.9,17.22,2.78,39.0,1007.79,3.0,0.7777777777777777
17,0.15,0.7,0.9,17.22,2.78,39.0,1007.79,4.0,0.7777777777777777
18,0.15,0.7,0.9,17.22,2.78,39.0,1007.79,5.0,0.7777777777777777
19,0.15,0.7,1.0,17.22,2.78,39.0,1007.79,0.0,0.7
20,0.15,0.7,1.0,17.22,2.78,39.0,1007.79,1.0,0.7
21,0.15,0.7,1.0,17.22,2.78,39.0,1007.79,2.0,0.7
22,0.15,0.7,1.0,17.22,2.78,39.0,1007.79,3.0,0.7
23,0.15,0.7,1.0,17.22,2.78,39.0,1007.79,4.0,0.7
24,0.15,0.7,1.0,17.22,2.78,39.0,1007.79,5.0,0.7
25,0.15,0.7,1.1,17.22,2.78,39.0,1007.79,0.0,0.6363636363636362
26,0.15,0.7,1.1,17.22,2.78,39.0,1007.79,1.0,0.6363636363636362
27,0.15,0.7,1.1,17.22,2.78,39.0,1007.79,2.0,0.6363636363636362
